
2025/02/25 (16:20:45) | ===> btop++ v.1.4.0
2025/02/25 (16:20:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:21:10) | ===> btop++ v.1.4.0
2025/02/25 (16:21:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:21:48) | ===> btop++ v.1.4.0
2025/02/25 (16:21:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:24:47) | ===> btop++ v.1.4.0
2025/02/25 (16:24:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/12 (18:03:18) | ===> btop++ v.1.4.0
2025/03/12 (18:03:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/17 (08:48:23) | ===> btop++ v.1.4.0
2025/03/17 (08:48:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/25 (16:12:42) | ===> btop++ v.1.4.0
2025/03/25 (16:12:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (16:12:50) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (16:57:02) | ===> btop++ v.1.4.0
2025/03/25 (16:57:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/25 (18:59:48) | ===> btop++ v.1.4.0
2025/03/25 (18:59:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/25 (19:05:49) | ===> btop++ v.1.4.0
2025/03/25 (19:05:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (11:04:22) | ===> btop++ v.1.4.0
2025/03/26 (11:04:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
